team_api_id,favored,favored_cutoff,team_long_name,team_short_name,id,team_fifa_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
9925,297,201-300,Celtic,CEL,293,78,2014-09-19 00:00:00,70,Fast,52.0,Normal,58,Mixed,Organised,55,Normal,61,Normal,62,Normal,Organised,51,Medium,54,Press,60,Normal,Cover
9925,297,201-300,Celtic,CEL,294,78,2015-09-10 00:00:00,54,Balanced,49.0,Normal,53,Mixed,Organised,51,Normal,51,Normal,62,Normal,Organised,58,Medium,55,Press,56,Normal,Cover
8633,288,201-300,Real Madrid CF,REA,1049,243,2010-02-22 00:00:00,55,Balanced,,Little,30,Short,Free Form,70,Risky,60,Normal,70,Lots,Free Form,65,Medium,40,Press,65,Normal,Offside Trap
8633,288,201-300,Real Madrid CF,REA,1050,243,2011-02-22 00:00:00,54,Balanced,,Little,39,Mixed,Free Form,67,Risky,60,Normal,67,Lots,Free Form,68,High,55,Press,55,Normal,Cover
8633,288,201-300,Real Madrid CF,REA,1051,243,2012-02-22 00:00:00,45,Balanced,,Little,35,Mixed,Free Form,71,Risky,54,Normal,73,Lots,Free Form,49,Medium,60,Press,68,Wide,Cover
8633,288,201-300,Real Madrid CF,REA,1052,243,2013-09-20 00:00:00,50,Balanced,,Little,41,Mixed,Organised,68,Risky,54,Normal,72,Lots,Free Form,39,Medium,49,Press,65,Normal,Cover
8633,288,201-300,Real Madrid CF,REA,1053,243,2014-09-19 00:00:00,50,Balanced,54.0,Normal,41,Mixed,Organised,68,Risky,54,Normal,69,Lots,Free Form,39,Medium,49,Press,65,Normal,Cover
8633,288,201-300,Real Madrid CF,REA,1054,243,2015-09-10 00:00:00,50,Balanced,57.0,Normal,46,Mixed,Free Form,61,Normal,41,Normal,63,Normal,Free Form,52,Medium,60,Press,63,Normal,Cover
10260,275,201-300,Manchester United,MUN,807,11,2010-02-22 00:00:00,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover
10260,275,201-300,Manchester United,MUN,808,11,2011-02-22 00:00:00,65,Balanced,,Little,40,Mixed,Organised,65,Normal,65,Normal,70,Lots,Free Form,45,Medium,45,Press,65,Normal,Cover
10260,275,201-300,Manchester United,MUN,809,11,2012-02-22 00:00:00,46,Balanced,,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover
10260,275,201-300,Manchester United,MUN,810,11,2013-09-20 00:00:00,46,Balanced,,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover
10260,275,201-300,Manchester United,MUN,811,11,2014-09-19 00:00:00,46,Balanced,34.0,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover
10260,275,201-300,Manchester United,MUN,812,11,2015-09-10 00:00:00,38,Balanced,42.0,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover
8455,273,201-300,Chelsea,CHE,307,5,2010-02-22 00:00:00,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover
8455,273,201-300,Chelsea,CHE,308,5,2011-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Free Form,60,Normal,60,Normal,80,Lots,Free Form,35,Medium,55,Press,50,Normal,Cover
8455,273,201-300,Chelsea,CHE,309,5,2012-02-22 00:00:00,60,Balanced,,Little,45,Mixed,Organised,55,Normal,45,Normal,45,Normal,Organised,60,Medium,62,Press,46,Normal,Cover
8455,273,201-300,Chelsea,CHE,310,5,2013-09-20 00:00:00,46,Balanced,,Little,41,Mixed,Organised,46,Normal,61,Normal,63,Normal,Organised,42,Medium,43,Press,46,Normal,Cover
8455,273,201-300,Chelsea,CHE,311,5,2014-09-19 00:00:00,67,Fast,52.0,Normal,38,Mixed,Organised,41,Normal,61,Normal,68,Lots,Organised,39,Medium,41,Press,46,Normal,Cover
8455,273,201-300,Chelsea,CHE,312,5,2015-09-10 00:00:00,67,Fast,41.0,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Organised,39,Medium,41,Press,46,Normal,Cover
9885,272,201-300,Juventus,JUV,625,45,2010-02-22 00:00:00,45,Balanced,,Little,35,Mixed,Free Form,45,Normal,55,Normal,70,Lots,Free Form,50,Medium,35,Press,70,Wide,Offside Trap
9885,272,201-300,Juventus,JUV,626,45,2011-02-22 00:00:00,65,Balanced,,Little,50,Mixed,Organised,50,Normal,77,Lots,50,Normal,Organised,55,Medium,55,Press,35,Normal,Cover
9885,272,201-300,Juventus,JUV,627,45,2012-02-22 00:00:00,50,Balanced,,Little,35,Mixed,Organised,65,Normal,65,Normal,50,Normal,Organised,35,Medium,55,Press,35,Normal,Cover
9885,272,201-300,Juventus,JUV,628,45,2013-09-20 00:00:00,39,Balanced,,Little,33,Short,Organised,51,Normal,63,Normal,72,Lots,Free Form,66,Medium,67,Double,36,Normal,Cover
9885,272,201-300,Juventus,JUV,629,45,2014-09-19 00:00:00,26,Slow,47.0,Normal,24,Short,Organised,64,Normal,53,Normal,72,Lots,Organised,23,Deep,67,Double,36,Normal,Cover
9885,272,201-300,Juventus,JUV,630,45,2015-09-10 00:00:00,50,Balanced,35.0,Normal,20,Short,Organised,65,Normal,50,Normal,80,Lots,Organised,35,Medium,65,Press,35,Normal,Cover
9823,267,201-300,FC Bayern Munich,BMU,143,21,2010-02-22 00:00:00,65,Balanced,,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover
9823,267,201-300,FC Bayern Munich,BMU,144,21,2011-02-22 00:00:00,42,Balanced,,Little,40,Mixed,Organised,34,Normal,30,Little,72,Lots,Free Form,39,Medium,52,Press,65,Normal,Cover
9823,267,201-300,FC Bayern Munich,BMU,145,21,2012-02-22 00:00:00,47,Balanced,,Little,40,Mixed,Organised,34,Normal,31,Little,55,Normal,Organised,49,Medium,35,Press,50,Normal,Cover
9823,267,201-300,FC Bayern Munich,BMU,146,21,2013-09-20 00:00:00,56,Balanced,,Little,41,Mixed,Organised,40,Normal,44,Normal,39,Normal,Organised,52,Medium,54,Press,52,Normal,Cover
9823,267,201-300,FC Bayern Munich,BMU,147,21,2014-09-19 00:00:00,37,Balanced,34.0,Normal,22,Short,Free Form,21,Safe,38,Normal,40,Normal,Free Form,61,Medium,59,Press,40,Normal,Cover
9823,267,201-300,FC Bayern Munich,BMU,148,21,2015-09-10 00:00:00,45,Balanced,24.0,Little,28,Short,Free Form,37,Normal,31,Little,22,Little,Free Form,72,High,53,Press,59,Normal,Cover
9825,266,201-300,Arsenal,ARS,71,1,2010-02-22 00:00:00,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
9825,266,201-300,Arsenal,ARS,72,1,2011-02-22 00:00:00,75,Fast,,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover
9825,266,201-300,Arsenal,ARS,73,1,2012-02-22 00:00:00,25,Slow,,Little,32,Short,Organised,41,Normal,34,Normal,30,Little,Free Form,57,Medium,57,Press,52,Normal,Cover
9825,266,201-300,Arsenal,ARS,74,1,2013-09-20 00:00:00,30,Slow,,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover
9825,266,201-300,Arsenal,ARS,75,1,2014-09-19 00:00:00,59,Balanced,51.0,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
9825,266,201-300,Arsenal,ARS,76,1,2015-09-10 00:00:00,59,Balanced,51.0,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
9847,262,201-300,Paris Saint-Germain,PSG,962,73,2010-02-22 00:00:00,50,Balanced,,Little,65,Mixed,Organised,40,Normal,65,Normal,55,Normal,Organised,70,High,70,Double,70,Wide,Offside Trap
9847,262,201-300,Paris Saint-Germain,PSG,963,73,2011-02-22 00:00:00,35,Balanced,,Little,35,Mixed,Organised,35,Normal,35,Normal,50,Normal,Organised,45,Medium,55,Press,65,Normal,Cover
9847,262,201-300,Paris Saint-Germain,PSG,964,73,2012-02-22 00:00:00,49,Balanced,,Little,41,Mixed,Organised,62,Normal,52,Normal,60,Normal,Organised,49,Medium,46,Press,52,Normal,Cover
9847,262,201-300,Paris Saint-Germain,PSG,965,73,2013-09-20 00:00:00,49,Balanced,,Little,41,Mixed,Organised,62,Normal,52,Normal,60,Normal,Organised,49,Medium,46,Press,52,Normal,Cover
9847,262,201-300,Paris Saint-Germain,PSG,966,73,2014-09-19 00:00:00,49,Balanced,70.0,Lots,55,Mixed,Organised,62,Normal,61,Normal,68,Lots,Organised,57,Medium,53,Press,56,Normal,Cover
9847,262,201-300,Paris Saint-Germain,PSG,967,73,2015-09-10 00:00:00,49,Balanced,47.0,Normal,34,Mixed,Organised,62,Normal,61,Normal,35,Normal,Organised,57,Medium,53,Press,56,Normal,Cover
8456,261,201-300,Manchester City,MCI,801,10,2010-02-22 00:00:00,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover
8456,261,201-300,Manchester City,MCI,802,10,2011-02-22 00:00:00,70,Fast,,Little,60,Mixed,Organised,70,Risky,65,Normal,75,Lots,Free Form,65,Medium,65,Press,50,Normal,Cover
8456,261,201-300,Manchester City,MCI,803,10,2012-02-22 00:00:00,45,Balanced,,Little,55,Mixed,Organised,40,Normal,38,Normal,48,Normal,Free Form,50,Medium,60,Press,54,Normal,Cover
8456,261,201-300,Manchester City,MCI,804,10,2013-09-20 00:00:00,36,Balanced,,Little,34,Mixed,Organised,39,Normal,44,Normal,38,Normal,Free Form,42,Medium,44,Press,54,Normal,Cover
8456,261,201-300,Manchester City,MCI,805,10,2014-09-19 00:00:00,59,Balanced,35.0,Normal,29,Short,Organised,32,Safe,49,Normal,62,Normal,Organised,42,Medium,44,Press,54,Normal,Cover
8456,261,201-300,Manchester City,MCI,806,10,2015-09-10 00:00:00,59,Balanced,35.0,Normal,29,Short,Free Form,38,Normal,36,Normal,24,Little,Free Form,48,Medium,47,Press,54,Normal,Cover
8640,254,201-300,PSV,PSV,1008,247,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,33,Safe,52,Normal,70,Lots,Organised,30,Deep,30,Contain,30,Narrow,Cover
8640,254,201-300,PSV,PSV,1009,247,2011-02-22 00:00:00,63,Balanced,,Little,30,Short,Organised,67,Risky,65,Normal,68,Lots,Free Form,57,Medium,37,Press,64,Normal,Offside Trap
8640,254,201-300,PSV,PSV,1010,247,2012-02-22 00:00:00,33,Slow,,Little,42,Mixed,Organised,40,Normal,55,Normal,48,Normal,Organised,43,Medium,30,Contain,48,Normal,Cover
8640,254,201-300,PSV,PSV,1011,247,2013-09-20 00:00:00,54,Balanced,,Little,45,Mixed,Organised,55,Normal,58,Normal,55,Normal,Organised,43,Medium,50,Press,48,Normal,Cover
8640,254,201-300,PSV,PSV,1012,247,2014-09-19 00:00:00,67,Fast,35.0,Normal,40,Mixed,Organised,53,Normal,53,Normal,55,Normal,Organised,50,Medium,62,Press,55,Normal,Cover
8640,254,201-300,PSV,PSV,1013,247,2015-09-10 00:00:00,67,Fast,43.0,Normal,43,Mixed,Organised,53,Normal,44,Normal,28,Little,Organised,40,Medium,40,Press,48,Normal,Cover
8636,253,201-300,Inter,INT,608,44,2010-02-22 00:00:00,55,Balanced,,Little,55,Mixed,Free Form,50,Normal,55,Normal,70,Lots,Organised,50,Medium,60,Press,55,Normal,Cover
8636,253,201-300,Inter,INT,609,44,2011-02-22 00:00:00,55,Balanced,,Little,50,Mixed,Free Form,50,Normal,55,Normal,65,Normal,Organised,50,Medium,60,Press,55,Normal,Cover
8636,253,201-300,Inter,INT,610,44,2012-02-22 00:00:00,45,Balanced,,Little,50,Mixed,Organised,65,Normal,50,Normal,65,Normal,Organised,35,Medium,55,Press,35,Normal,Cover
8636,253,201-300,Inter,INT,611,44,2013-09-20 00:00:00,67,Fast,,Little,67,Long,Organised,68,Risky,52,Normal,66,Normal,Free Form,36,Medium,57,Press,38,Normal,Cover
8636,253,201-300,Inter,INT,612,44,2014-09-19 00:00:00,67,Fast,48.0,Normal,67,Long,Organised,68,Risky,69,Lots,66,Normal,Organised,23,Deep,57,Press,34,Normal,Cover
8636,253,201-300,Inter,INT,613,44,2015-09-10 00:00:00,58,Balanced,69.0,Lots,54,Mixed,Organised,56,Normal,60,Normal,53,Normal,Organised,47,Medium,49,Press,63,Normal,Cover
8593,252,201-300,Ajax,AJA,34,245,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,50,Normal,60,Normal,70,Lots,Organised,30,Deep,30,Contain,30,Narrow,Cover
8593,252,201-300,Ajax,AJA,35,245,2011-02-22 00:00:00,40,Balanced,,Little,38,Mixed,Free Form,67,Risky,65,Normal,67,Lots,Organised,65,Medium,57,Press,63,Normal,Cover
8593,252,201-300,Ajax,AJA,36,245,2012-02-22 00:00:00,31,Slow,,Little,33,Short,Organised,39,Normal,64,Normal,46,Normal,Free Form,68,High,65,Press,60,Normal,Cover
8593,252,201-300,Ajax,AJA,37,245,2013-09-20 00:00:00,35,Balanced,,Little,33,Short,Free Form,39,Normal,52,Normal,46,Normal,Free Form,68,High,65,Press,50,Normal,Cover
8593,252,201-300,Ajax,AJA,38,245,2014-09-19 00:00:00,40,Balanced,40.0,Normal,30,Short,Organised,51,Normal,55,Normal,39,Normal,Free Form,64,Medium,53,Press,64,Normal,Cover
8593,252,201-300,Ajax,AJA,39,245,2015-09-10 00:00:00,35,Balanced,43.0,Normal,39,Mixed,Organised,58,Normal,55,Normal,30,Little,Free Form,64,Medium,53,Press,59,Normal,Cover
8564,251,201-300,Milan,ACM,16,47,2010-02-22 00:00:00,45,Balanced,,Little,30,Short,Free Form,55,Normal,45,Normal,70,Lots,Free Form,30,Deep,35,Press,60,Normal,Offside Trap
8564,251,201-300,Milan,ACM,17,47,2011-02-22 00:00:00,65,Balanced,,Little,50,Mixed,Organised,50,Normal,60,Normal,50,Normal,Free Form,50,Medium,50,Press,50,Normal,Offside Trap
8564,251,201-300,Milan,ACM,18,47,2012-02-22 00:00:00,45,Balanced,,Little,50,Mixed,Organised,65,Normal,20,Little,50,Normal,Free Form,45,Medium,45,Press,50,Normal,Cover
8564,251,201-300,Milan,ACM,19,47,2013-09-20 00:00:00,48,Balanced,,Little,54,Mixed,Organised,51,Normal,53,Normal,64,Normal,Free Form,48,Medium,49,Press,53,Normal,Cover
8564,251,201-300,Milan,ACM,20,47,2014-09-19 00:00:00,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,75,Lots,Organised,58,Medium,57,Press,49,Normal,Cover
8564,251,201-300,Milan,ACM,21,47,2015-09-10 00:00:00,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,69,Lots,Organised,58,Medium,57,Press,49,Normal,Cover
8592,250,201-300,Olympique de Marseille,MAR,819,219,2010-02-22 00:00:00,55,Balanced,,Little,45,Mixed,Organised,70,Risky,65,Normal,70,Lots,Free Form,65,Medium,70,Double,65,Normal,Offside Trap
8592,250,201-300,Olympique de Marseille,MAR,820,219,2011-02-22 00:00:00,65,Balanced,,Little,35,Mixed,Organised,65,Normal,65,Normal,80,Lots,Free Form,55,Medium,55,Press,65,Normal,Cover
8592,250,201-300,Olympique de Marseille,MAR,821,219,2012-02-22 00:00:00,48,Balanced,,Little,50,Mixed,Organised,49,Normal,51,Normal,48,Normal,Organised,44,Medium,48,Press,51,Normal,Cover
8592,250,201-300,Olympique de Marseille,MAR,822,219,2013-09-20 00:00:00,48,Balanced,,Little,50,Mixed,Organised,49,Normal,77,Lots,64,Normal,Organised,44,Medium,48,Press,54,Normal,Cover
8592,250,201-300,Olympique de Marseille,MAR,823,219,2014-09-19 00:00:00,51,Balanced,62.0,Normal,50,Mixed,Organised,49,Normal,69,Lots,68,Lots,Organised,48,Medium,48,Press,60,Normal,Cover
8592,250,201-300,Olympique de Marseille,MAR,824,219,2015-09-10 00:00:00,51,Balanced,77.0,Lots,41,Mixed,Organised,49,Normal,69,Lots,31,Little,Organised,48,Medium,48,Press,60,Normal,Cover
9748,249,201-300,Olympique Lyonnais,LYO,777,66,2010-02-22 00:00:00,60,Balanced,,Little,40,Mixed,Organised,70,Risky,45,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap
9748,249,201-300,Olympique Lyonnais,LYO,778,66,2011-02-22 00:00:00,65,Balanced,,Little,50,Mixed,Organised,50,Normal,50,Normal,80,Lots,Organised,45,Medium,45,Press,65,Normal,Cover
9748,249,201-300,Olympique Lyonnais,LYO,779,66,2012-02-22 00:00:00,49,Balanced,,Little,52,Mixed,Organised,49,Normal,54,Normal,67,Lots,Organised,46,Medium,47,Press,47,Normal,Cover
9748,249,201-300,Olympique Lyonnais,LYO,780,66,2013-09-20 00:00:00,49,Balanced,,Little,52,Mixed,Organised,49,Normal,54,Normal,67,Lots,Organised,46,Medium,47,Press,47,Normal,Cover
9748,249,201-300,Olympique Lyonnais,LYO,781,66,2014-09-19 00:00:00,49,Balanced,60.0,Normal,52,Mixed,Organised,49,Normal,54,Normal,67,Lots,Organised,46,Medium,47,Press,47,Normal,Cover
9748,249,201-300,Olympique Lyonnais,LYO,782,66,2015-09-10 00:00:00,49,Balanced,60.0,Normal,52,Mixed,Organised,49,Normal,54,Normal,67,Lots,Organised,46,Medium,47,Press,47,Normal,Cover
8650,246,201-300,Liverpool,LIV,743,9,2010-02-22 00:00:00,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover
8650,246,201-300,Liverpool,LIV,744,9,2011-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Organised,40,Normal,45,Normal,60,Normal,Organised,55,Medium,55,Press,50,Normal,Cover
8650,246,201-300,Liverpool,LIV,745,9,2012-02-22 00:00:00,60,Balanced,,Little,60,Mixed,Organised,48,Normal,73,Lots,53,Normal,Organised,50,Medium,48,Press,62,Normal,Cover
8650,246,201-300,Liverpool,LIV,746,9,2013-09-20 00:00:00,39,Balanced,,Little,44,Mixed,Organised,42,Normal,34,Normal,54,Normal,Organised,59,Medium,52,Press,61,Normal,Cover
8650,246,201-300,Liverpool,LIV,747,9,2014-09-19 00:00:00,71,Fast,48.0,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover
8650,246,201-300,Liverpool,LIV,748,9,2015-09-10 00:00:00,66,Balanced,60.0,Normal,45,Mixed,Organised,34,Normal,34,Normal,46,Normal,Organised,51,Medium,52,Press,61,Normal,Cover
8686,243,201-300,Roma,ROM,1104,52,2010-02-22 00:00:00,70,Fast,,Little,30,Short,Free Form,60,Normal,60,Normal,70,Lots,Free Form,55,Medium,30,Contain,70,Wide,Offside Trap
8686,243,201-300,Roma,ROM,1105,52,2011-02-22 00:00:00,64,Balanced,,Little,30,Short,Organised,67,Risky,50,Normal,65,Normal,Free Form,46,Medium,47,Press,50,Normal,Offside Trap
8686,243,201-300,Roma,ROM,1106,52,2012-02-22 00:00:00,60,Balanced,,Little,40,Mixed,Free Form,65,Normal,35,Normal,50,Normal,Free Form,35,Medium,45,Press,50,Normal,Offside Trap
8686,243,201-300,Roma,ROM,1107,52,2013-09-20 00:00:00,53,Balanced,,Little,55,Mixed,Organised,77,Risky,75,Lots,56,Normal,Free Form,49,Medium,47,Press,53,Normal,Offside Trap
8686,243,201-300,Roma,ROM,1108,52,2014-09-19 00:00:00,67,Fast,48.0,Normal,38,Mixed,Organised,73,Risky,64,Normal,56,Normal,Free Form,36,Medium,57,Press,34,Normal,Cover
8686,243,201-300,Roma,ROM,1109,52,2015-09-10 00:00:00,68,Fast,27.0,Little,47,Mixed,Organised,71,Risky,54,Normal,66,Normal,Free Form,36,Medium,57,Press,48,Normal,Cover
9906,242,201-300,Atlético Madrid,AMA,95,240,2010-02-22 00:00:00,64,Balanced,,Little,30,Short,Free Form,65,Normal,50,Normal,70,Lots,Free Form,70,High,34,Press,55,Normal,Offside Trap
9906,242,201-300,Atlético Madrid,AMA,96,240,2011-02-22 00:00:00,57,Balanced,,Little,54,Mixed,Organised,58,Normal,69,Lots,79,Lots,Organised,58,Medium,48,Press,54,Normal,Cover
9906,242,201-300,Atlético Madrid,AMA,97,240,2012-02-22 00:00:00,47,Balanced,,Little,51,Mixed,Organised,67,Risky,63,Normal,54,Normal,Organised,52,Medium,37,Press,55,Normal,Cover
9906,242,201-300,Atlético Madrid,AMA,98,240,2013-09-20 00:00:00,47,Balanced,,Little,51,Mixed,Organised,70,Risky,65,Normal,54,Normal,Organised,52,Medium,37,Press,55,Normal,Cover
9906,242,201-300,Atlético Madrid,AMA,99,240,2014-09-19 00:00:00,47,Balanced,52.0,Normal,51,Mixed,Organised,67,Risky,67,Lots,54,Normal,Organised,52,Medium,37,Press,55,Normal,Cover
9906,242,201-300,Atlético Madrid,AMA,100,240,2015-09-10 00:00:00,57,Balanced,50.0,Normal,50,Mixed,Organised,61,Normal,62,Normal,49,Normal,Organised,49,Medium,42,Press,52,Normal,Cover
9773,237,201-300,FC Porto,POR,433,236,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,60,Normal,60,Normal,60,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap
9773,237,201-300,FC Porto,POR,434,236,2011-02-22 00:00:00,50,Balanced,,Little,50,Mixed,Organised,50,Normal,65,Normal,65,Normal,Free Form,55,Medium,43,Press,65,Normal,Cover
9773,237,201-300,FC Porto,POR,435,236,2012-02-22 00:00:00,52,Balanced,,Little,53,Mixed,Organised,56,Normal,72,Lots,68,Lots,Organised,61,Medium,49,Press,60,Normal,Cover
9773,237,201-300,FC Porto,POR,436,236,2013-09-20 00:00:00,52,Balanced,,Little,53,Mixed,Organised,56,Normal,72,Lots,68,Lots,Organised,58,Medium,60,Press,57,Normal,Cover
9773,237,201-300,FC Porto,POR,437,236,2014-09-19 00:00:00,52,Balanced,50.0,Normal,53,Mixed,Organised,56,Normal,66,Normal,68,Lots,Organised,58,Medium,60,Press,60,Normal,Cover
9773,237,201-300,FC Porto,POR,438,236,2015-09-10 00:00:00,70,Fast,50.0,Normal,53,Mixed,Organised,56,Normal,66,Normal,68,Lots,Organised,58,Medium,60,Press,60,Normal,Cover
9789,235,201-300,Borussia Dortmund,DOR,210,22,2010-02-22 00:00:00,70,Fast,,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap
9789,235,201-300,Borussia Dortmund,DOR,211,22,2011-02-22 00:00:00,73,Fast,,Little,43,Mixed,Organised,60,Normal,53,Normal,64,Normal,Organised,59,Medium,67,Double,46,Normal,Cover
9789,235,201-300,Borussia Dortmund,DOR,212,22,2012-02-22 00:00:00,71,Fast,,Little,45,Mixed,Organised,67,Risky,44,Normal,70,Lots,Free Form,58,Medium,69,Double,46,Normal,Cover
9789,235,201-300,Borussia Dortmund,DOR,213,22,2013-09-20 00:00:00,74,Fast,,Little,45,Mixed,Organised,70,Risky,48,Normal,76,Lots,Organised,60,Medium,70,Double,48,Normal,Cover
9789,235,201-300,Borussia Dortmund,DOR,214,22,2014-09-19 00:00:00,76,Fast,33.0,Little,61,Mixed,Organised,53,Normal,44,Normal,73,Lots,Free Form,60,Medium,68,Double,43,Normal,Cover
9789,235,201-300,Borussia Dortmund,DOR,215,22,2015-09-10 00:00:00,71,Fast,37.0,Normal,40,Mixed,Organised,70,Risky,44,Normal,49,Normal,Free Form,65,Medium,71,Double,40,Normal,Cover
9772,234,201-300,SL Benfica,BEN,161,234,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,50,Normal,55,Normal,65,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap
9772,234,201-300,SL Benfica,BEN,162,234,2011-02-22 00:00:00,65,Balanced,,Little,35,Mixed,Free Form,65,Normal,55,Normal,51,Normal,Organised,55,Medium,56,Press,60,Normal,Cover
9772,234,201-300,SL Benfica,BEN,163,234,2012-02-22 00:00:00,55,Balanced,,Little,48,Mixed,Organised,69,Risky,56,Normal,54,Normal,Organised,61,Medium,51,Press,57,Normal,Cover
9772,234,201-300,SL Benfica,BEN,164,234,2013-09-20 00:00:00,65,Balanced,,Little,54,Mixed,Organised,69,Risky,56,Normal,54,Normal,Organised,60,Medium,58,Press,57,Normal,Cover
