league_name,country_name,team_long_name,favored,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,year,favored_cutoff
Belgium Jupiler League,Belgium,Sint-Truidense VV,35,50,Balanced,,Little,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,2010,26-50
Belgium Jupiler League,Belgium,Sint-Truidense VV,35,53,Balanced,,Little,53,Mixed,Organised,48,Normal,52,Normal,53,Normal,Organised,46,Medium,46,Press,46,Normal,Cover,2011,26-50
Belgium Jupiler League,Belgium,Sint-Truidense VV,35,52,Balanced,,Little,55,Mixed,Organised,52,Normal,55,Normal,47,Normal,Organised,32,Deep,40,Press,41,Normal,Cover,2012,26-50
Belgium Jupiler League,Belgium,KV Kortrijk,88,50,Balanced,,Little,60,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,60,Medium,60,Press,65,Normal,Cover,2010,51-100
Belgium Jupiler League,Belgium,KV Kortrijk,88,38,Balanced,,Little,65,Mixed,Free Form,38,Normal,69,Lots,52,Normal,Organised,34,Medium,57,Press,47,Normal,Cover,2011,51-100
Belgium Jupiler League,Belgium,KV Kortrijk,88,31,Slow,,Little,47,Mixed,Organised,37,Normal,67,Lots,50,Normal,Organised,46,Medium,45,Press,52,Normal,Cover,2012,51-100
Belgium Jupiler League,Belgium,KV Kortrijk,88,42,Balanced,,Little,40,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover,2013,51-100
Belgium Jupiler League,Belgium,KV Kortrijk,88,42,Balanced,40.0,Normal,47,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover,2014,51-100
Belgium Jupiler League,Belgium,KV Kortrijk,88,42,Balanced,40.0,Normal,47,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover,2015,51-100
Belgium Jupiler League,Belgium,Sporting Charleroi,61,40,Balanced,,Little,50,Mixed,Organised,45,Normal,43,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,2010,51-100
Belgium Jupiler League,Belgium,Sporting Charleroi,61,47,Balanced,,Little,36,Mixed,Organised,34,Normal,33,Little,53,Normal,Organised,49,Medium,58,Press,48,Normal,Cover,2011,51-100
Belgium Jupiler League,Belgium,Sporting Charleroi,61,60,Balanced,,Little,53,Mixed,Organised,48,Normal,50,Normal,48,Normal,Organised,42,Medium,48,Press,49,Normal,Cover,2013,51-100
Belgium Jupiler League,Belgium,Sporting Charleroi,61,60,Balanced,47.0,Normal,53,Mixed,Organised,48,Normal,50,Normal,48,Normal,Organised,42,Medium,48,Press,49,Normal,Cover,2014,51-100
Belgium Jupiler League,Belgium,Sporting Charleroi,61,60,Balanced,47.0,Normal,53,Mixed,Organised,48,Normal,50,Normal,48,Normal,Organised,39,Medium,48,Press,49,Normal,Cover,2015,51-100
Belgium Jupiler League,Belgium,RAEC Mons,29,50,Balanced,,Little,50,Mixed,Organised,55,Normal,48,Normal,46,Normal,Organised,46,Medium,45,Press,47,Normal,Cover,2012,26-50
Belgium Jupiler League,Belgium,RAEC Mons,29,50,Balanced,,Little,50,Mixed,Organised,55,Normal,67,Lots,46,Normal,Organised,46,Medium,45,Press,47,Normal,Cover,2013,26-50
Belgium Jupiler League,Belgium,RAEC Mons,29,55,Balanced,50.0,Normal,55,Mixed,Organised,55,Normal,67,Lots,46,Normal,Organised,46,Medium,45,Press,47,Normal,Cover,2014,26-50
Belgium Jupiler League,Belgium,RSC Anderlecht,200,50,Balanced,,Little,35,Mixed,Organised,70,Risky,50,Normal,60,Normal,Organised,70,High,50,Press,70,Wide,Cover,2010,101-200
Belgium Jupiler League,Belgium,RSC Anderlecht,200,50,Balanced,,Little,52,Mixed,Free Form,70,Risky,50,Normal,60,Normal,Organised,70,High,50,Press,70,Wide,Offside Trap,2011,101-200
Belgium Jupiler League,Belgium,RSC Anderlecht,200,52,Balanced,,Little,41,Mixed,Organised,53,Normal,57,Normal,47,Normal,Organised,45,Medium,43,Press,52,Normal,Cover,2012,101-200
Belgium Jupiler League,Belgium,RSC Anderlecht,200,52,Balanced,,Little,41,Mixed,Organised,68,Risky,67,Lots,47,Normal,Organised,60,Medium,43,Press,65,Normal,Cover,2013,101-200
Belgium Jupiler League,Belgium,RSC Anderlecht,200,52,Balanced,46.0,Normal,51,Mixed,Organised,60,Normal,53,Normal,47,Normal,Organised,60,Medium,50,Press,65,Normal,Cover,2014,101-200
Belgium Jupiler League,Belgium,RSC Anderlecht,200,52,Balanced,46.0,Normal,51,Mixed,Organised,60,Normal,53,Normal,47,Normal,Organised,53,Medium,50,Press,61,Normal,Cover,2015,101-200
Belgium Jupiler League,Belgium,Beerschot AC,61,35,Balanced,,Little,35,Mixed,Organised,45,Normal,40,Normal,50,Normal,Organised,70,High,70,Double,70,Wide,Cover,2010,51-100
Belgium Jupiler League,Belgium,Beerschot AC,61,47,Balanced,,Little,37,Mixed,Organised,54,Normal,64,Normal,67,Lots,Organised,33,Deep,34,Press,48,Normal,Offside Trap,2011,51-100
Belgium Jupiler League,Belgium,Beerschot AC,61,55,Balanced,,Little,55,Mixed,Organised,47,Normal,46,Normal,49,Normal,Organised,45,Medium,46,Press,50,Normal,Cover,2012,51-100
Belgium Jupiler League,Belgium,Beerschot AC,61,47,Balanced,,Little,39,Mixed,Organised,38,Normal,64,Normal,49,Normal,Organised,45,Medium,46,Press,67,Wide,Cover,2013,51-100
Belgium Jupiler League,Belgium,KAS Eupen,4,50,Balanced,,Little,55,Mixed,Organised,50,Normal,55,Normal,55,Normal,Organised,50,Medium,50,Press,55,Normal,Cover,2011,0-25
Belgium Jupiler League,Belgium,Sporting Lokeren,97,60,Balanced,,Little,60,Mixed,Organised,50,Normal,40,Normal,50,Normal,Organised,65,Medium,65,Press,70,Wide,Cover,2010,51-100
Belgium Jupiler League,Belgium,Sporting Lokeren,97,66,Balanced,,Little,53,Mixed,Organised,48,Normal,46,Normal,52,Normal,Organised,48,Medium,58,Press,55,Normal,Cover,2011,51-100
Belgium Jupiler League,Belgium,Sporting Lokeren,97,67,Fast,,Little,52,Mixed,Organised,51,Normal,50,Normal,50,Normal,Organised,45,Medium,52,Press,52,Normal,Cover,2012,51-100
Belgium Jupiler League,Belgium,Sporting Lokeren,97,67,Fast,,Little,52,Mixed,Organised,31,Safe,50,Normal,50,Normal,Organised,45,Medium,52,Press,52,Normal,Cover,2013,51-100
Belgium Jupiler League,Belgium,Sporting Lokeren,97,62,Balanced,45.0,Normal,52,Mixed,Organised,42,Normal,50,Normal,62,Normal,Organised,45,Medium,52,Press,52,Normal,Cover,2014,51-100
Belgium Jupiler League,Belgium,Sporting Lokeren,97,62,Balanced,45.0,Normal,52,Mixed,Organised,42,Normal,50,Normal,62,Normal,Organised,45,Medium,52,Press,52,Normal,Cover,2015,51-100
Belgium Jupiler League,Belgium,SV Zulte-Waregem,103,65,Balanced,,Little,60,Mixed,Organised,60,Normal,40,Normal,50,Normal,Organised,70,High,60,Press,70,Wide,Cover,2010,101-200
Belgium Jupiler League,Belgium,SV Zulte-Waregem,103,52,Balanced,,Little,52,Mixed,Organised,52,Normal,48,Normal,53,Normal,Organised,46,Medium,48,Press,53,Normal,Cover,2011,101-200
Belgium Jupiler League,Belgium,SV Zulte-Waregem,103,54,Balanced,,Little,51,Mixed,Organised,47,Normal,52,Normal,50,Normal,Organised,44,Medium,55,Press,53,Normal,Cover,2012,101-200
Belgium Jupiler League,Belgium,SV Zulte-Waregem,103,54,Balanced,,Little,51,Mixed,Organised,47,Normal,52,Normal,32,Little,Organised,44,Medium,58,Press,37,Normal,Cover,2013,101-200
Belgium Jupiler League,Belgium,SV Zulte-Waregem,103,54,Balanced,42.0,Normal,51,Mixed,Organised,47,Normal,52,Normal,32,Little,Organised,44,Medium,58,Press,37,Normal,Cover,2014,101-200
Belgium Jupiler League,Belgium,SV Zulte-Waregem,103,54,Balanced,42.0,Normal,51,Mixed,Organised,47,Normal,52,Normal,32,Little,Organised,44,Medium,58,Press,37,Normal,Cover,2015,101-200
Belgium Jupiler League,Belgium,KSV Cercle Brugge,72,45,Balanced,,Little,35,Mixed,Organised,70,Risky,45,Normal,55,Normal,Organised,65,Medium,60,Press,70,Wide,Cover,2010,51-100
Belgium Jupiler League,Belgium,KSV Cercle Brugge,72,50,Balanced,,Little,50,Mixed,Free Form,70,Risky,65,Normal,65,Normal,Organised,60,Medium,50,Press,70,Wide,Cover,2011,51-100
Belgium Jupiler League,Belgium,KSV Cercle Brugge,72,68,Fast,,Little,54,Mixed,Organised,55,Normal,68,Lots,42,Normal,Organised,59,Medium,47,Press,62,Normal,Cover,2012,51-100
Belgium Jupiler League,Belgium,KSV Cercle Brugge,72,53,Balanced,,Little,40,Mixed,Organised,55,Normal,68,Lots,42,Normal,Free Form,59,Medium,47,Press,62,Normal,Cover,2013,51-100
Belgium Jupiler League,Belgium,KSV Cercle Brugge,72,53,Balanced,49.0,Normal,43,Mixed,Organised,52,Normal,58,Normal,42,Normal,Organised,59,Medium,47,Press,62,Normal,Cover,2014,51-100
Belgium Jupiler League,Belgium,KSV Cercle Brugge,72,53,Balanced,49.0,Normal,43,Mixed,Organised,52,Normal,58,Normal,42,Normal,Organised,59,Medium,47,Press,62,Normal,Cover,2015,51-100
Belgium Jupiler League,Belgium,KV Mechelen,86,65,Balanced,,Little,60,Mixed,Organised,50,Normal,40,Normal,50,Normal,Organised,60,Medium,70,Double,60,Normal,Cover,2010,51-100
Belgium Jupiler League,Belgium,KV Mechelen,86,67,Fast,,Little,57,Mixed,Organised,47,Normal,47,Normal,52,Normal,Organised,48,Medium,61,Press,48,Normal,Cover,2011,51-100
Belgium Jupiler League,Belgium,KV Mechelen,86,52,Balanced,,Little,54,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,52,Medium,60,Press,48,Normal,Cover,2012,51-100
Belgium Jupiler League,Belgium,KV Mechelen,86,52,Balanced,,Little,33,Short,Organised,47,Normal,53,Normal,50,Normal,Free Form,42,Medium,60,Press,52,Normal,Cover,2013,51-100
Belgium Jupiler League,Belgium,KV Mechelen,86,52,Balanced,42.0,Normal,40,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,42,Medium,51,Press,52,Normal,Cover,2014,51-100
Belgium Jupiler League,Belgium,KV Mechelen,86,52,Balanced,42.0,Normal,40,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,42,Medium,51,Press,52,Normal,Cover,2015,51-100
Belgium Jupiler League,Belgium,KAA Gent,170,70,Fast,,Little,65,Mixed,Organised,60,Normal,50,Normal,60,Normal,Organised,45,Medium,50,Press,40,Normal,Cover,2010,101-200
Belgium Jupiler League,Belgium,KAA Gent,170,55,Balanced,,Little,55,Mixed,Organised,54,Normal,74,Lots,56,Normal,Organised,61,Medium,39,Press,38,Normal,Cover,2011,101-200
Belgium Jupiler League,Belgium,KAA Gent,170,50,Balanced,,Little,47,Mixed,Organised,55,Normal,66,Normal,47,Normal,Organised,48,Medium,45,Press,52,Normal,Cover,2012,101-200
Belgium Jupiler League,Belgium,KAA Gent,170,50,Balanced,,Little,37,Mixed,Organised,28,Safe,66,Normal,34,Normal,Free Form,50,Medium,53,Press,40,Normal,Cover,2013,101-200
Belgium Jupiler League,Belgium,KAA Gent,170,50,Balanced,55.0,Normal,37,Mixed,Organised,28,Safe,66,Normal,34,Normal,Organised,55,Medium,59,Press,52,Normal,Cover,2014,101-200
Belgium Jupiler League,Belgium,KAA Gent,170,50,Balanced,55.0,Normal,37,Mixed,Organised,42,Normal,66,Normal,34,Normal,Organised,49,Medium,54,Press,52,Normal,Cover,2015,101-200
Belgium Jupiler League,Belgium,KVC Westerlo,59,45,Balanced,,Little,60,Mixed,Organised,40,Normal,45,Normal,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,2010,51-100
Belgium Jupiler League,Belgium,KVC Westerlo,59,34,Balanced,,Little,52,Mixed,Free Form,66,Normal,48,Normal,53,Normal,Organised,48,Medium,59,Press,67,Wide,Cover,2011,51-100
Belgium Jupiler League,Belgium,KVC Westerlo,59,52,Balanced,,Little,50,Mixed,Organised,59,Normal,60,Normal,32,Little,Organised,48,Medium,45,Press,53,Normal,Cover,2012,51-100
Belgium Jupiler League,Belgium,KVC Westerlo,59,52,Balanced,46.0,Normal,50,Mixed,Organised,57,Normal,55,Normal,32,Little,Organised,48,Medium,45,Press,53,Normal,Cover,2015,51-100
Belgium Jupiler League,Belgium,Club Brugge KV,184,35,Balanced,,Little,40,Mixed,Organised,45,Normal,50,Normal,45,Normal,Organised,60,Medium,70,Double,70,Wide,Cover,2010,101-200
Belgium Jupiler League,Belgium,Club Brugge KV,184,67,Fast,,Little,47,Mixed,Free Form,68,Risky,49,Normal,53,Normal,Free Form,57,Medium,44,Press,47,Normal,Cover,2011,101-200
Belgium Jupiler League,Belgium,Club Brugge KV,184,64,Balanced,,Little,54,Mixed,Organised,48,Normal,61,Normal,47,Normal,Organised,60,Medium,50,Press,52,Normal,Cover,2012,101-200
Belgium Jupiler League,Belgium,Club Brugge KV,184,45,Balanced,,Little,48,Mixed,Organised,48,Normal,61,Normal,47,Normal,Organised,43,Medium,59,Press,45,Normal,Cover,2013,101-200
Belgium Jupiler League,Belgium,Club Brugge KV,184,42,Balanced,52.0,Normal,45,Mixed,Organised,42,Normal,57,Normal,47,Normal,Organised,51,Medium,50,Press,57,Normal,Cover,2014,101-200
Belgium Jupiler League,Belgium,Club Brugge KV,184,42,Balanced,52.0,Normal,45,Mixed,Organised,42,Normal,57,Normal,47,Normal,Organised,51,Medium,50,Press,57,Normal,Cover,2015,101-200
Belgium Jupiler League,Belgium,Standard de Liège,172,53,Balanced,,Little,40,Mixed,Organised,55,Normal,55,Normal,65,Normal,Organised,70,High,70,Double,65,Normal,Cover,2010,101-200
Belgium Jupiler League,Belgium,Standard de Liège,172,68,Fast,,Little,66,Mixed,Organised,53,Normal,66,Normal,63,Normal,Free Form,59,Medium,47,Press,66,Normal,Cover,2011,101-200
Belgium Jupiler League,Belgium,Standard de Liège,172,75,Fast,,Little,70,Long,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,60,Press,52,Normal,Cover,2012,101-200
Belgium Jupiler League,Belgium,Standard de Liège,172,54,Balanced,,Little,62,Mixed,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,60,Press,52,Normal,Cover,2013,101-200
Belgium Jupiler League,Belgium,Standard de Liège,172,54,Balanced,45.0,Normal,62,Mixed,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,54,Press,52,Normal,Cover,2014,101-200
Belgium Jupiler League,Belgium,Standard de Liège,172,54,Balanced,45.0,Normal,62,Mixed,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,54,Press,52,Normal,Cover,2015,101-200
Belgium Jupiler League,Belgium,KSV Roeselare,11,65,Balanced,,Little,60,Mixed,Organised,50,Normal,35,Normal,40,Normal,Organised,65,Medium,70,Double,70,Wide,Cover,2010,0-25
England Premier League,England,Wigan Athletic,57,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,2010,51-100
England Premier League,England,Wigan Athletic,57,35,Balanced,,Little,50,Mixed,Organised,45,Normal,65,Normal,50,Normal,Organised,45,Medium,55,Press,65,Normal,Cover,2011,51-100
England Premier League,England,Wigan Athletic,57,38,Balanced,,Little,38,Mixed,Organised,54,Normal,42,Normal,42,Normal,Organised,40,Medium,42,Press,44,Normal,Cover,2012,51-100
England Premier League,England,Wigan Athletic,57,38,Balanced,,Little,39,Mixed,Organised,43,Normal,42,Normal,34,Normal,Free Form,56,Medium,52,Press,44,Normal,Cover,2013,51-100
England Premier League,England,Wigan Athletic,57,51,Balanced,36.0,Normal,51,Mixed,Organised,52,Normal,55,Normal,57,Normal,Organised,62,Medium,57,Press,44,Normal,Cover,2014,51-100
England Premier League,England,Wigan Athletic,57,51,Balanced,37.0,Normal,56,Mixed,Organised,52,Normal,59,Normal,40,Normal,Organised,62,Medium,48,Press,44,Normal,Cover,2015,51-100
England Premier League,England,Queens Park Rangers,32,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,2010,26-50
England Premier League,England,Queens Park Rangers,32,51,Balanced,,Little,49,Mixed,Organised,36,Normal,48,Normal,52,Normal,Organised,44,Medium,43,Press,40,Normal,Cover,2011,26-50
England Premier League,England,Queens Park Rangers,32,57,Balanced,,Little,58,Mixed,Organised,60,Normal,48,Normal,48,Normal,Organised,42,Medium,51,Press,44,Normal,Cover,2012,26-50
England Premier League,England,Queens Park Rangers,32,58,Balanced,,Little,54,Mixed,Organised,53,Normal,39,Normal,54,Normal,Organised,49,Medium,47,Press,44,Normal,Cover,2013,26-50
England Premier League,England,Queens Park Rangers,32,52,Balanced,36.0,Normal,53,Mixed,Organised,53,Normal,54,Normal,54,Normal,Organised,50,Medium,44,Press,54,Normal,Cover,2014,26-50
England Premier League,England,Queens Park Rangers,32,30,Slow,39.0,Normal,61,Mixed,Organised,53,Normal,53,Normal,60,Normal,Organised,50,Medium,44,Press,54,Normal,Cover,2015,26-50
England Premier League,England,Wolverhampton Wanderers,35,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,2010,26-50
England Premier League,England,Wolverhampton Wanderers,35,55,Balanced,,Little,55,Mixed,Organised,60,Normal,60,Normal,45,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2011,26-50
England Premier League,England,Wolverhampton Wanderers,35,67,Fast,,Little,68,Long,Organised,42,Normal,68,Lots,56,Normal,Organised,48,Medium,60,Press,45,Normal,Cover,2012,26-50
England Premier League,England,Wolverhampton Wanderers,35,63,Balanced,,Little,61,Mixed,Organised,42,Normal,73,Lots,56,Normal,Organised,42,Medium,48,Press,52,Normal,Cover,2013,26-50
England Premier League,England,Wolverhampton Wanderers,35,47,Balanced,28.0,Little,58,Mixed,Organised,55,Normal,64,Normal,56,Normal,Organised,47,Medium,48,Press,52,Normal,Cover,2014,26-50
England Premier League,England,Wolverhampton Wanderers,35,46,Balanced,36.0,Normal,54,Mixed,Organised,55,Normal,47,Normal,48,Normal,Organised,47,Medium,48,Press,55,Normal,Cover,2015,26-50
England Premier League,England,Burnley,19,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,2010,0-25
England Premier League,England,Burnley,19,36,Balanced,,Little,52,Mixed,Organised,49,Normal,68,Lots,55,Normal,Organised,24,Deep,56,Press,66,Normal,Cover,2011,0-25
England Premier League,England,Burnley,19,48,Balanced,,Little,44,Mixed,Organised,56,Normal,58,Normal,48,Normal,Organised,52,Medium,50,Press,58,Normal,Cover,2012,0-25
England Premier League,England,Burnley,19,54,Balanced,,Little,55,Mixed,Organised,56,Normal,59,Normal,48,Normal,Organised,48,Medium,50,Press,58,Normal,Cover,2013,0-25
England Premier League,England,Burnley,19,48,Balanced,32.0,Little,74,Long,Organised,72,Risky,59,Normal,58,Normal,Organised,54,Medium,57,Press,58,Normal,Cover,2014,0-25
England Premier League,England,Burnley,19,54,Balanced,32.0,Little,67,Long,Organised,72,Risky,57,Normal,47,Normal,Organised,63,Medium,62,Press,58,Normal,Cover,2015,0-25
England Premier League,England,Birmingham City,22,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,2010,0-25
England Premier League,England,Birmingham City,22,45,Balanced,,Little,60,Mixed,Organised,35,Normal,50,Normal,40,Normal,Organised,30,Deep,60,Press,45,Normal,Cover,2011,0-25
England Premier League,England,Birmingham City,22,51,Balanced,,Little,55,Mixed,Organised,41,Normal,62,Normal,56,Normal,Organised,42,Medium,48,Press,54,Normal,Cover,2012,0-25
England Premier League,England,Birmingham City,22,56,Balanced,,Little,57,Mixed,Organised,45,Normal,71,Lots,41,Normal,Organised,42,Medium,44,Press,54,Normal,Cover,2013,0-25
England Premier League,England,Birmingham City,22,56,Balanced,39.0,Normal,79,Long,Organised,77,Risky,71,Lots,56,Normal,Organised,42,Medium,48,Press,54,Normal,Cover,2014,0-25
England Premier League,England,Birmingham City,22,56,Balanced,32.0,Little,75,Long,Organised,77,Risky,62,Normal,64,Normal,Organised,42,Medium,47,Press,54,Normal,Cover,2015,0-25
England Premier League,England,Blackpool,7,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,2010,0-25
England Premier League,England,Blackpool,7,70,Fast,,Little,30,Short,Organised,65,Normal,30,Little,65,Normal,Organised,45,Medium,50,Press,45,Normal,Cover,2011,0-25
England Premier League,England,Blackpool,7,45,Balanced,,Little,52,Mixed,Organised,60,Normal,58,Normal,58,Normal,Organised,49,Medium,52,Press,54,Normal,Cover,2012,0-25
England Premier League,England,Blackpool,7,45,Balanced,,Little,52,Mixed,Organised,60,Normal,58,Normal,58,Normal,Organised,49,Medium,52,Press,54,Normal,Cover,2013,0-25
England Premier League,England,Blackpool,7,67,Fast,44.0,Normal,72,Long,Organised,70,Risky,48,Normal,58,Normal,Organised,39,Medium,38,Press,54,Normal,Cover,2014,0-25
England Premier League,England,Blackpool,7,62,Balanced,36.0,Normal,64,Mixed,Organised,59,Normal,43,Normal,64,Normal,Organised,39,Medium,38,Press,54,Normal,Cover,2015,0-25
England Premier League,England,Norwich City,45,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,60,Medium,70,Double,70,Wide,Cover,2010,26-50
